,unemployment_rate,fed_rate,indpro,gs10,usrec,sp500_close,inflation_yoy,sp500_log_return,log_indpro
2011-09-01,9.0,0.08,95.1961,1.98,0.0,1131.4200439453125,3.812621692818685,-7.44671007197857,4.55593897457162
2011-10-01,8.8,0.07,95.8568,2.15,0.0,1253.300048828125,3.5222681306640524,10.230659176938868,4.562855411158854
2011-11-01,8.6,0.08,95.8485,2.01,0.0,1246.9599609375,3.451432214581729,-0.5071553722512535,4.56276881991693
2011-12-01,8.5,0.07,96.3571,1.98,0.0,1257.5999755859375,3.062066838419386,0.8496565407114517,4.568061081818492
2012-01-01,8.3,0.08,96.9318,1.97,0.0,1312.4100341796875,3.0087663379855023,4.266004446780736,4.57400763843423
2012-02-01,8.3,0.1,97.2435,1.97,0.0,1365.6800537109375,2.8981784423473878,3.9787344672044562,4.577218142218522
2012-03-01,8.2,0.13,96.74,2.17,0.0,1408.469970703125,2.5828752813320977,3.085147563299614,4.572026967394837
2012-04-01,8.2,0.14,97.4359,2.05,0.0,1397.9100341796875,2.2731633741348567,-0.7525699544988768,4.57919472590062
2012-05-01,8.2,0.16,97.6609,1.8,0.0,1310.3299560546875,1.7379429374660749,-6.469930815862472,4.581501274237169
2012-06-01,8.2,0.16,97.6663,1.62,0.0,1362.1600341796875,1.653870448297634,3.879271987369995,4.581556566075699
2012-07-01,8.2,0.16,97.8713,1.53,0.0,1379.3199462890625,1.4175114798464783,1.2518884940282722,4.583653350275842
2012-08-01,8.1,0.13,97.4525,1.68,0.0,1406.5799560546875,1.6859349154821235,1.9570609701871091,4.579365079806139
2012-09-01,7.8,0.14,97.381,1.72,0.0,1440.6700439453125,1.9497168982819613,2.3947118796254596,4.578631119750915
2012-10-01,7.8,0.16,97.7193,1.75,0.0,1412.1600341796875,2.1556780595369363,-1.9987842358050205,4.5820990830401005
2012-11-01,7.7,0.16,98.0777,1.65,0.0,1416.1800537109375,1.7960197033926262,0.28426724604567316,4.585760021668242
2012-12-01,7.9,0.16,98.3101,1.72,0.0,1426.18994140625,1.7595049796895523,0.7043368100713409,4.588126768568835
2013-01-01,8.0,0.14,98.3342,1.91,0.0,1498.1099853515625,1.684061762098299,4.919779199874611,4.5883718811921925
2013-02-01,7.7,0.15,98.7941,1.98,0.0,1514.6800537109375,2.0181404902574807,1.0999927126354463,4.593037886371524
2013-03-01,7.5,0.14,99.1921,1.96,0.0,1569.18994140625,1.5187472411246183,3.5355294329704883,4.597058374022851
2013-04-01,7.6,0.15,99.1065,1.76,0.0,1597.5699462890625,1.138808047576867,1.7924165836652506,4.596195029497807
2013-05-01,7.5,0.11,99.1839,1.93,0.0,1630.739990234375,1.3903888279197085,2.0550202383511564,4.596975702731922
2013-06-01,7.5,0.09,99.3897,2.3,0.0,1606.280029296875,1.7157935271568725,-1.5112928770280076,4.599048486563044
2013-07-01,7.3,0.09,99.0814,2.58,0.0,1685.72998046875,1.885471805415806,4.827772805178804,4.595941734517294
2013-08-01,7.2,0.08,99.6543,2.74,0.0,1632.969970703125,1.538809488600279,-3.179826803794541,4.601707196756425
2013-09-01,7.2,0.08,100.161,2.81,0.0,1681.550048828125,1.0947341081747997,2.931559136642498,4.606778891327507
2013-10-01,7.2,0.09,100.082,2.62,0.0,1756.5400390625,0.8767991434911471,4.362997111283392,4.605989849971768
2013-11-01,6.9,0.08,100.3158,2.72,0.0,1805.81005859375,1.2328701961954458,2.766328977323541,4.6083232099794955
2013-12-01,6.7,0.09,100.5175,2.9,0.0,1848.3599853515625,1.5128383667573297,2.32894744820535,4.6103318416936085
2014-01-01,6.6,0.07,100.1599,2.86,0.0,1782.5899658203125,1.557758795574915,-3.6231407776019298,4.606767908948734
2014-02-01,6.7,0.07,100.9168,2.71,0.0,1859.449951171875,1.1204746347724948,4.221337507227561,4.61429641498635
2014-03-01,6.7,0.08,101.8942,2.72,0.0,1872.3399658203125,1.6126949139408042,0.6908248426944213,4.623935020061161
2014-04-01,6.2,0.09,101.9928,2.71,0.0,1883.949951171875,2.015125303606169,0.6181643365584686,4.62490222255751
2014-05-01,6.3,0.09,102.3836,2.56,0.0,1923.5699462890625,2.166947687079812,2.081219601335824,4.628726543529026
2014-06-01,6.1,0.1,102.735,2.6,0.0,1960.22998046875,2.0589816945944195,1.8878996713560545,4.632152857317978
2014-07-01,6.2,0.09,102.9632,2.54,0.0,1930.6700439453125,1.9742378703305974,-1.5194687637991529,4.634371642835977
2014-08-01,6.1,0.09,102.7688,2.42,0.0,2003.3699951171875,1.7150983482969062,3.6963644407989245,4.632481805009503
2014-09-01,5.9,0.09,103.0641,2.53,0.0,1972.2900390625,1.6840509711232077,-1.563543610528987,4.635351124759652
2014-10-01,5.7,0.09,103.0764,2.3,0.0,2018.050048828125,1.6095417021513292,2.2936398829564384,4.6354704608436785
2014-11-01,5.8,0.09,103.7126,2.33,0.0,2067.56005859375,1.231524989320798,2.4237473563306713,4.641623612193868
2014-12-01,5.6,0.12,103.7044,2.21,0.0,2058.89990234375,0.6531213919623191,-0.4197384221126008,4.64154454442214
2015-01-01,5.7,0.11,102.8905,1.88,0.0,1994.989990234375,-0.22993097820542818,-3.1532779266425477,4.633665315934663
